emp_id,name,age,salary(pk),experience(year),city,department,rating,performance
E1000,Employee_1,37,91807.0,5.1,Lahore,Finance,4.9,
E1001,Employee_2,47,96992.0,10.8,Multan,Operations,3.6,
E1002,Employee_3,42,185292.0,7.7,Islamabad,IT,4.1,
E1003,Employee_4,28,96924.0,15.1,Karachi,Marketing,3.4,
E1004,Employee_5,45,202546.0,4.3,Multan,HR,3.6,
E1005,Employee_6,53,171514.0,19.5,Peshawar,HR,3.5,
E1006,Employee_7,47,82063.0,3.5,Multan,Finance,2.6,
E1007,Employee_8,25,62563.0,12.1,Lahore,Finance,4.5,
E1008,Employee_9,60,90026.0,7.3,Islamabad,Sales,3.6,
E1009,Employee_10,34,151903.0,17.2,Lahore,Sales,3.8,
E1010,Employee_11,40,237119.0,8.9,Peshawar,HR,3.5,
E1011,Employee_12,35,187885.0,8.7,Lahore,Finance,3.6,
E1012,Employee_13,39,128071.43,3.6,Lahore,Operations,4.1,
E1013,Employee_14,53,43881.0,9.5,Multan,Operations,3.1,
E1014,Employee_15,41,235004.0,17.3,Multan,Finance,3.6,
E1015,Employee_16,24,67005.0,2.3,Multan,IT,3.1,
E1016,Employee_17,52,112488.0,19.1,Peshawar,Marketing,4.5,
E1017,Employee_18,43,68847.0,15.2,Lahore,HR,4.4,
E1018,Employee_19,38,153398.0,14.4,Faisalabad,IT,3.6,
E1019,Employee_20,39,215693.0,15.4,Peshawar,Sales,2.9,
E1020,Employee_21,24,133458.0,10.6,Faisalabad,IT,3.8,
E1021,Employee_22,55,102949.0,4.9,Multan,IT,4.7,
E1022,Employee_23,58,128071.43,5.8,Islamabad,IT,4.6,
E1023,Employee_24,41,65741.0,0.7,Lahore,Marketing,4.3,
E1024,Employee_25,59,130109.0,6.6,Faisalabad,Operations,3.3,
E1025,Employee_26,45,52511.0,15.2,Peshawar,Sales,4.7,
E1026,Employee_27,24,126287.0686,16.4,Multan,Sales,3.9,
E1027,Employee_28,29,236056.0,1.2,Faisalabad,Marketing,2.6,
E1028,Employee_29,32,152427.0,2.6,Karachi,Marketing,3.5,
E1029,Employee_30,59,151093.0,1.5,Islamabad,Finance,4.4,
E1030,Employee_31,47,108517.0,8.5,Islamabad,Sales,4.0,
E1031,Employee_32,23,242649.0,5.0,Faisalabad,IT,4.2,
E1032,Employee_33,38,147312.0,2.8,Islamabad,HR,3.4,
E1033,Employee_34,34,126287.0686,5.0,Multan,Operations,3.9,
E1034,Employee_35,48,226730.0,8.9,Peshawar,HR,2.8,
E1035,Employee_36,44,244925.0,19.7,Islamabad,Sales,3.0,
E1036,Employee_37,35,168178.0,18.4,Lahore,Finance,3.2,
E1037,Employee_38,46,67103.0,17.3,Faisalabad,Marketing,3.4,
E1038,Employee_39,45,41915.0,10.0,Faisalabad,Sales,3.3,
E1039,Employee_40,60,166042.0,9.6,Lahore,Marketing,4.0,
E1040,Employee_41,47,118402.0,10.5,Peshawar,IT,3.2,
E1041,Employee_42,33,207718.0,19.3,Lahore,Marketing,4.8,
E1042,Employee_43,60,206710.0,8.6,Multan,Finance,4.8,
E1043,Employee_44,22,132854.0,19.6,Faisalabad,HR,3.1,
E1044,Employee_45,24,175781.0,9.0,Karachi,Finance,4.5,
E1045,Employee_46,44,171315.0,13.8,Karachi,Operations,2.7,
