std_id,first_name,last_name,email,gender,age,department,attendance(%),middle_score,final_score,assignment_avg,quizes_avg,participation_score,project_score,total_score,grade,study_hour_per_week
STD1000,Ali,Siddiqui,ali.siddiqui000@university.edu,Male,22,Business,68.9,92,51,83.8,94.1,55,87,74,C,36
STD1001,Ayesha,Khan,ayesha.khan001@university.edu,Female,19,Business,69.3,83,46,78.1,84.4,94,84,73,C,25
STD1002,Hira,Iqbal,hira.iqbal002@university.edu,Female,22,Computer Science,90.4,55,89,71.1,60.3,63,98,77.2,B,35
STD1003,Fatima,Ahmed,fatima.ahmed003@university.edu,Female,24,Computer Science,74.4,67,83,63.2,47.4,79,84,73,C,44
STD1004,Farhan,Ansari,farhan.ansari004@university.edu,Male,19,English,71.7,85,84,94.3,64.9,62,95,82,B,66
STD1005,Ali,Nawaz,ali.nawaz005@university.edu,Male,21,Mathematics,99.4,59,51,69,69.9,73,60,65.2,C,14
STD1006,Maham,Sheikh,maham.sheikh006@university.edu,Female,22,Economics,97.5,86,49,80.5,54.4,96,65,71.8,C,22
STD1007,Danish,Ansari,danish.ansari007@university.edu,Male,22,Economics,87.5,59,88,66.2,87.3,53,64,73.2,C,25
STD1008,Talha,Chaudhry,talha.chaudhry008@university.edu,Male,24,Mathematics,62.6,81,90,65.7,81,75,91,80,B,44
STD1009,Zara,Butt,zara.butt009@university.edu,Female,20,Business,89.8,79,61,87.4,68.6,87,75,76,B,34
STD1010,Hira,Malik,hira.malik010@university.edu,Female,25,Computer Science,90.2,52,54,81.4,88.6,77,88,72.3,C,44
STD1011,Zain,Ansari,zain.ansari011@university.edu,Male,25,English,70.1,80,45,84,51.3,84,98,71.1,C,65
STD1012,Mehwish,Nawaz,mehwish.nawaz012@university.edu,Female,23,Computer Science,71.7,55,74,50.2,84.7,96,66,69.4,C,23
STD1013,Umar,Abbasi,umar.abbasi013@university.edu,Male,19,Economics,71.9,85,77,80.4,53.4,98,60,75.4,B,55
STD1014,Saad,Chaudhry,saad.chaudhry014@university.edu,Male,25,Computer Science,64.5,68,98,90.3,58.2,65,86,79.9,B,57
STD1015,Ahmed,Siddiqui,ahmed.siddiqui015@university.edu,Male,25,Computer Science,99.1,79,94,56.3,81.3,85,60,79.3,B,11
STD1016,Laiba,Mughal,laiba.mughal016@university.edu,Female,24,Business,97.2,93,91,84.5,84.2,75,92,88.8,A,17
STD1017,Iqra,Abbasi,iqra.abbasi017@university.edu,Female,25,Computer Science,69.9,49,66,51.1,75.5,87,64,64.4,D,23
STD1018,Ahmed,Siddiqui,ahmed.siddiqui018@university.edu,Male,18,Business,62.7,47,66,53.5,58.1,92,81,65,C,25
STD1019,Umar,Malik,umar.malik019@university.edu,Male,25,Business,91.4,71,57,54.7,81.2,72,77,69.1,C,26
STD1020,Iqra,Mughal,iqra.mughal020@university.edu,Female,18,Economics,86.1,86,51,53,85.1,56,65,66.1,C,77
STD1021,Hassan,Farooq,hassan.farooq021@university.edu,Male,25,Business,76.9,62,74,62.5,95.8,78,85,75,B,66
STD1022,Ali,Nawaz,ali.nawaz022@university.edu,Male,18,Computer Science,97.1,60,55,70.3,71.5,75,53,65.6,C,44
STD1023,Zain,Khan,zain.khan023@university.edu,Male,24,Mathematics,97.1,95,74,64.3,83.3,96,100,85,A,34
STD1024,Zara,Sheikh,zara.sheikh024@university.edu,Female,22,Business,98.7,82,92,77.1,86.1,53,53,78.6,B,55
STD1025,Laiba,Abbasi,laiba.abbasi025@university.edu,Female,20,Computer Science,98.4,50,56,53.4,48.7,65,75,62,D,43
STD1026,Farhan,Raza,farhan.raza026@university.edu,Male,21,English,83.8,84,50,71,77.1,83,70,70.6,C,34
STD1027,Hira,Nawaz,hira.nawaz027@university.edu,Female,23,Business,70.6,53,87,82.3,70.1,98,54,74,C,22
STD1028,Danish,Raza,danish.raza028@university.edu,Male,19,Computer Science,81.5,77,61,56.6,64.2,54,65,65,C,43
STD1029,Noor,Malik,noor.malik029@university.edu,Female,25,English,88.1,84,96,82.7,45.4,85,69,81.2,B,54
STD1030,Farhan,Malik,farhan.malik030@university.edu,Male,22,Computer Science,95.6,92,80,57.8,60.5,63,95,78.6,B,11
STD1031,Hira,Nawaz,hira.nawaz031@university.edu,Female,22,English,79.5,48,50,81.7,90.6,52,50,61.7,D,12
STD1032,Mehwish,Malik,mehwish.malik032@university.edu,Female,22,Business,89.6,80,90,71.4,45.5,54,94,78.2,B,56
STD1033,Umar,Khan,umar.khan033@university.edu,Male,23,English,82.1,72,53,52.1,65.1,100,52,64.4,D,22
STD1034,Hira,Nawaz,hira.nawaz034@university.edu,Female,21,Economics,64.1,94,80,94.2,67.4,89,97,84.8,B,65
STD1035,Farhan,Abbasi,farhan.abbasi035@university.edu,Male,21,Business,99,56,71,51.2,85.5,71,100,74.4,C,23
STD1036,Mehwish,Nawaz,mehwish.nawaz036@university.edu,Female,21,Mathematics,66.4,89,51,69.1,47.1,80,64,65.4,C,24
STD1037,Kashif,Abbasi,kashif.abbasi037@university.edu,Male,25,Mathematics,72.2,95,59,61.1,81.3,75,71,71.7,C,23
STD1038,Kinza,Ahmed,kinza.ahmed038@university.edu,Female,22,Mathematics,85.7,70,88,99.1,74.5,51,57,77,B,54
STD1039,Zara,Raza,zara.raza039@university.edu,Female,22,Computer Science,64.3,72,67,86.4,62.3,88,82,74.3,C,22
STD1040,Zain,Abbasi,zain.abbasi040@university.edu,Male,21,Mathematics,61.8,72,45,76,89.4,93,96,72.3,C,24
